City,Latitude,Longitude
Tijuana Baja California,32.5149469,-117.0382471
Mexicali Baja California,32.6633333,-115.4677778
Los Algodones Baja California,32.7152778,-114.7288889
San Luis Rio Colorado Sonora,32.4518877,-114.771711
Sonoyta Sonora,31.8629677,-112.8488631
El Sasabe Sonora,31.3541199,-111.6485661
Nogales Sonora,31.3085642,-110.9434486
Naco Sonora,31.3260273,-109.9470019
Agua Prieta Sonora,31.3258333,-109.5488889
El Berrendo Chihuahua,31.3321175,-108.5305478
Puerto Palomas Chihuahua,31.7808759,-107.6309084
San Jeronimo Chihuahua,28.967294,-107.375689
Ciudad Juarez Chihuahua,31.736784,-106.473027
Caseta Chihuahua,28.569772,-106.1095802
El Porvenir Chihuahua,31.2387579,-105.8781106
Ojinaga Chihuahua,29.564449,-104.544098
Ciudad Acuna Coahuila,29.3183986,-100.9325249
Piedras Negras Coahuila,28.6978762,-100.5246969
Colombia Nuevo Leon,27.7040344,-99.76089809999999
Nuevo Laredo Tamaulipas,27.4669967,-99.5562219
Nueva Ciudad Guerrero Tamaulipas,26.5581342,-99.2233809
Ciudad Miguel Aleman Tamaulipas,26.3995427,-99.0310434
Ciudad Camargo Tamaulipas,26.3207342,-98.833519
Gustavo Diaz Ordaz Tamaulipas,26.2322222,-98.59694449999999
Reynosa Tamaulipas,26.0712222,-98.2973651
Rio Bravo Tamaulipas,27.3641887,-99.48004150000001
Nuevo Progreso Rio Bravo Tamaulipas,26.0550139,-97.94875210000001
Matamoros Tamaulipas,25.8690294,-97.50273759999999
