City,Latitude,Longitude
San Ysidro CA,32.555556,-117.0470434
Tijuana Baja California,32.5149469,-117.0382471
Otay Mesa CA,32.5594732,-116.9734685
Boulevard Garita de Otay	Tijuana Baja California,32.5476236,-116.9383611
Tecate CA,32.5811734,-116.6209871
Tecate Baja California,32.5685837,-116.6346969
Mexicali Baja California,32.6633333,-115.4677778
Calexico West CA,32.6789476,-115.4988834
Calexico East CA,32.6789476,-115.4988834
Andrade CA,32.7258333,-114.7258333
Los Algodones Baja California,32.7152778,-114.7288889
