City,Latitude,Longitude
San Ysidro San Diego California,32.555556,-117.0470434
Otay Mesa San Diego California,32.5594732,-116.9734685
Tecate California,32.5811734,-116.6209871
Calexico California,32.6789476,-115.4988834
Andrade California,32.7258333,-114.7258333
San Luis Arizona,32.4869996,-114.7821796
Lukeville Arizona,31.8825681,-112.8157127
Sasabe Arizona,31.4887016,-111.5420505
Nogales Arizona,31.3403775,-110.9342532
Naco Arizona,31.3353801,-109.9481297
Douglas Arizona,31.3445471,-109.5453447
Antelope Wells New Mexico,31.34889,-108.50833
Columbus New Mexico,31.8276002,-107.6400232
Santa Teresa New Mexico,31.8559384,-106.6391577
El Paso Texas,31.7587198,-106.4869314
Fabens Texas,31.50234,-106.1585867
Fort Hancock Texas,31.2914585,-105.860307
Presidio Texas,29.5607383,-104.3721465
Del Rio Texas,29.3708857,-100.8958674
Eagle Pass Texas,28.7091433,-100.4995214
Laredo Texas,27.506407,-99.5075421
Falcon Heights Texas,26.5589442,-99.1230884
Roma Texas,26.4061111,-99.0055556
Rio Grande City Texas,26.3797874,-98.8203046
Los Ebanos Texas,26.2434051,-98.5616885
Mission Texas,26.2159066,-98.32529319999999
Hidalgo Texas,26.1003547,-98.2630684
Pharr Texas,26.1947962,-98.1836216
Donna Texas,26.1703525,-98.05194999999999
Progreso Texas,26.0922991,-97.9572242
Los Indios Texas,26.0492445,-97.74499349999999
Brownsville Texas,25.9017472,-97.4974838
